show_id,title,year released,certificate,duration_min,genre,rating,description,stars,votes
S1396,Alive Inside: A Story of Music and Memory,2014,Not Rated,78,Documentary,8.2,"Dan Cohen, founder of the nonprofit organization Music & Memory, fights against a broken healthcare system to demonstrate music's ability to combat memory loss and restore a deep sense of self to those suffering from it.","['Michael Rossato-Bennett', '| ', '    Stars:', 'Dan Cohen, ', 'Louise Dueno, ', 'Nell Hardie, ', 'Norman Hardie']","3,146"
S1397,Marco Polo,2014,TV-MA,60,Action,8,"In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.","['Lorenzo Richelmy, ', 'Benedict Wong, ', 'Joan Chen, ', 'Remy Hii']","72,672"
S1398,From the Dark,2014,Unrated,90,Horror,4.9,A couple on a trip through the Irish countryside find themselves hunted by a creature who only attacks at night.,"['Conor McMahon', '| ', '    Stars:', 'Niamh Algar, ', 'Stephen Cromwell, ', 'Ged Murray, ', ""Gerry O'Brien""]","3,328"
S1399,Rage of Bahamut: Genesis,2014,TV-14,24,Animation,7.3,"The story first starts off around Favaro Leone who is a bounty hunter, collecting money off of bounties he collects (demons). Favaro Leone soon runs into Amira who has no clue what is ...                See full summary »","['Tia Lynn Ballard, ', 'Chris Rager, ', 'Kyle Phillips, ', 'Brian Mathis']","1,515"
S1400,300: Rise of an Empire,2014,R,102,Action,6.2,"Greek general Themistocles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.","['Noam Murro', '| ', '    Stars:', 'Sullivan Stapleton, ', 'Eva Green, ', 'Lena Headey, ', 'Hans Matheson']","300,895"
S1401,BoJack Horseman,2014,TV-MA,26,Animation,8.9,"Diane's depression lifts, but she's still struggling to start writing her memoir. Reporters Paige and Max pay Penny a visit.","['James Bowman', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","3,200"
S1402,Kung Fu Elliot,2014,Not Rated,81,Documentary,6.5,"The film tells the bizarre story of Elliot 'White Lightning' Scott, who plans on becoming Canada's first kung fu action hero with his low-budget karate epic, Blood Fight.","['Matthew Bauckman, ', 'Jaret Belliveau', '| ', '    Star:', 'Elliot Scott']",343
S1403,Stranded in Paradise,2014,TV-G,86,Comedy,5.4,"When a driven HR exec loses her high-powered job, she travels to Puerto Rico in an attempt to save her career at a business conference. But as the trip quickly becomes a disaster and a ...                See full summary »","['Bert Kish', '| ', '    Stars:', 'Vanessa Marcil, ', 'James Denton, ', 'Cindy Pickett, ', 'Gladys Rodríguez']","1,722"
S1404,M Cream,2014,Not Rated,112,Adventure,5.4,"A motley crew of university students set out on a journey in pursuit of a mythical form of hash, confronting a series of encounters that begin to unravel the myriad realities of rebellion.","['Agneya Singh, ', 'Aban Raza', '| ', '    Stars:', 'Tom Alter, ', 'Raaghavv Chanana, ', 'Ira Dubey, ', 'Lushin Dubey']",600
S1405,Tiny House Nation,2014,TV-PG,43,Reality-TV,7.1,Tiny House Nation takes renovation experts John Weisbarth and Zack Giffin across America to help design and construct tiny dream homes in spaces under 500 square feet. Tiny House Nation ...                See full summary »,"['John Weisbarth, ', 'Zack Giffin, ', 'David Foxx, ', 'Conrad Foxx']","1,176"
S1406,Rosemary's Baby,2014,TV-14,170,Drama,5.5,Modern 4 hour mini-series adaptation of the classic novel by Ira Levin focusing on young Rosemary Woodhouse's suspicions that her neighbors may belong to a Satanic cult who are hell bent on getting one thing: the baby she is carrying.,"['Zoe Saldana, ', 'Patrick J. Adams, ', 'Carole Bouquet, ', 'Christina Cole']","5,526"
S1407,Revolver Rani,2014,Not Rated,132,Action,4.7,"Alka Singh, the leader of a political party, and her obsessive love for Rohan Mehra, a rising star of Bollywood.","['Sai Kabir', '| ', '    Stars:', 'Kangana Ranaut, ', 'Vir Das, ', 'Backagaindancer, ', 'Zakhir Hussain']","1,932"
S1408,Stand by Me Doraemon,2014,TV-PG,95,Animation,7.3,What will happen to Nobita's life after Doraemon leaves?,"['Tony Oliver, ', 'Ryuichi Yagi, ', 'Takashi Yamazaki', '| ', '    Stars:', 'Wasabi Mizuta, ', 'Megumi Ohara, ', 'Satoshi Tsumabuki, ', 'Yumi Kakazu']","8,136"
S1409,Jarhead 2: Field of Fire,2014,R,103,Action,5.4,"Without tanks or air support, a corporal and his team must muster all the courage and firepower they can to fight their way across war-torn Afghanistan and shepherd an important anti-Taliban woman to safety.","['Don Michael Paul', '| ', '    Stars:', 'Cole Hauser, ', 'Josh Kelly, ', 'Danielle Savre, ', 'Bokeem Woodbine']","6,110"
S1410,Atari: Game Over,2014,TV-14,66,Documentary,6.7,"A crew digs up all of the old Atari 2600 game cartridges of ""E.T. the Extra-Terrestrial"" that were tossed into a landfill in the 1980s.","['Zak Penn', '| ', '    Stars:', 'Zak Penn, ', 'Joe Lewandowski, ', 'Robert Rentschler, ', 'Paul Sanchez']","5,924"
