title,year released,certificate,duration_min,genre ,rating,votes,age
Bleach,2004,TV-14,24,Animation,7.5,321,18
Bleach,2004,TV-14,23,Animation,7.8,296,18
Bleach,2004,TV-14,24,Animation,8.9,570,18
Ghost in the Shell 2: Innocence,2004,PG-13,100,Animation,7.4,"38,504",18
Bleach,2004,TV-14,24,Animation,8.4,566,18
Bleach,2004,TV-14,24,Animation,7.6,365,18
Bleach,2004,TV-14,24,Animation,7.2,304,18
Bleach,2004,TV-14,24,Animation,6.2,221,18
Bleach,2004,TV-14,23,Animation,7.8,287,18
Bleach,2004,TV-14,24,Animation,8,379,18
Bleach,2004,TV-14,24,Animation,8.3,508,18
Bleach,2004,TV-14,24,Animation,8.6,491,18
Bleach,2004,TV-14,24,Animation,8.4,556,18
Bleach,2004,TV-14,24,Animation,7.6,355,18
Bleach,2004,TV-14,24,Animation,9,584,18
Bleach,2004,TV-14,24,Animation,7.7,321,18
Flip a Coin,2004,Not Rated,95,Comedy,6.1,52,18
Bleach,2004,TV-14,24,Animation,7.5,313,18
Bleach,2004,TV-14,24,Animation,7.6,366,18
Bleach,2004,TV-14,24,Animation,7.9,346,18
Bleach,2004,TV-14,24,Animation,8.4,556,18
Bleach,2004,TV-14,24,Animation,8.1,535,18
Bleach,2004,TV-14,24,Animation,8.5,562,18
Bleach,2004,TV-14,24,Animation,7.6,406,18
Bleach,2004,TV-14,24,Animation,9.1,633,18
Bleach,2004,TV-14,24,Animation,7.7,276,18
Bleach,2004,TV-14,25,Animation,9.1,640,18
Bleach,2004,TV-14,24,Animation,7.7,403,18
Doc Martin,2004,TV-14,46,Comedy,8.4,"16,147",18
Bleach,2004,TV-14,23,Animation,7.6,244,18
Bleach,2004,TV-14,24,Animation,7.9,350,18
Bleach,2004,TV-14,24,Animation,7.2,290,18
Bleach,2004,TV-14,24,Animation,8.8,541,18
Bleach,2004,TV-14,23,Animation,8.2,465,18
Bleach,2004,TV-14,24,Animation,7.6,279,18
Bleach,2004,TV-14,24,Animation,7.6,621,18
Bleach,2004,TV-14,23,Animation,8.9,619,18
Bleach,2004,TV-14,23,Animation,5.5,200,18
Bleach,2004,TV-14,24,Animation,7.6,440,18
Gantz,2004,TV-MA,22,Animation,7.2,"7,933",18
Bleach,2004,TV-14,24,Animation,8.5,566,18
Bleach,2004,TV-14,23,Animation,8.1,452,18
Bleach,2004,TV-14,24,Animation,7.5,305,18
Bleach,2004,TV-14,24,Animation,8.1,449,18
Peppa Pig,2004,TV-Y,9,Animation,6.3,"5,171",18
Bleach,2004,TV-14,23,Animation,8.2,490,18
Bleach,2004,TV-14,24,Animation,7.9,312,18
